tabela,coluna,tipo,dominio_exemplo,minimo,maximo,descricao
silver_estatisticas,posse_de_bola,string,"None, 65%, 35%, 56%, 44%, 43%, 57%, 42%, 58%, 48%",N/A,N/A,"Coluna 'posse_de_bola' da tabela 'silver_estatisticas', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,posse_de_bola_num,double,"65.0, 35.0, 56.0, 44.0, 43.0, 57.0, 42.0, 58.0, 48.0, 52.0",20.0,80.0,"Coluna 'posse_de_bola_num' da tabela 'silver_estatisticas', do tipo 'double'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,precisao_passes,string,"None, 81%, 86%, 88%, 72%, 90%, 85%, 76%, 78%, 75%",N/A,N/A,"Coluna 'precisao_passes' da tabela 'silver_estatisticas', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,precisao_passes_num,double,"81.0, 86.0, 88.0, 72.0, 90.0, 85.0, 76.0, 78.0, 75.0, 82.0",39.0,93.0,"Coluna 'precisao_passes_num' da tabela 'silver_estatisticas', do tipo 'double'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,rodata,int,"1, 2, 4, 3, 12, 5, 6, 7, 8, 9",1,46,"Coluna 'rodata' da tabela 'silver_estatisticas', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_estatisticas,source,string,/Workspace/csv/campeonato-brasileiro-estatisticas-full.csv,N/A,N/A,"Coluna 'source' da tabela 'silver_estatisticas', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,arena,string,"Brinco De Ouro, Arena Da Baixada, Maracanã, Serra Dourada, Beira Rio, Heriberto Hulse, Alfredo Jaconi, Castelão, Mineirão, Barradão",N/A,N/A,"Coluna 'arena' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,data,date,"2003-03-29, 2003-03-30, 2003-04-05, 2003-04-06, 2003-04-09, 2003-04-12, 2003-04-13, 2003-04-16, 2003-04-17, 2003-04-18",N/A,N/A,"Coluna 'data' da tabela 'silver_full', do tipo 'date'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,data_dt,date,"2003-03-29, 2003-03-30, 2003-04-05, 2003-04-06, 2003-04-09, 2003-04-12, 2003-04-13, 2003-04-16, 2003-04-17, 2003-04-18",N/A,N/A,"Coluna 'data_dt' da tabela 'silver_full', do tipo 'date'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,data_hora_ts,timestamp,N/A,N/A,N/A,"Coluna 'data_hora_ts' da tabela 'silver_full', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,formacao_mandante,string,"4-4-2, 4-2-2-2, 4-3-2-1, 4-1-4-1, 4-2-3-1, 4-3-3, 4-1-2-1-2, 3-4-3, 4-3-1-2, 4-4-1-1",N/A,N/A,"Coluna 'formacao_mandante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,formacao_visitante,string,"4-2-3-1, 4-4-2, 4-1-4-1, 4-2-2-2, 4-3-3, 4-3-2-1, 4-1-2-1-2, 3-5-2, 4-4-1-1, 4-3-1-2",N/A,N/A,"Coluna 'formacao_visitante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,hora,timestamp,"2025-12-15 16:00:00, 2025-12-15 18:00:00, 2025-12-15 21:40:00, 2025-12-15 20:30:00, 2025-12-15 09:00:00, 2025-12-15 15:00:00, 2025-12-15 19:00:00, 2025-12-15 17:00:00, 2025-12-15 21:30:00, 2025-12-15 21:45:00",N/A,N/A,"Coluna 'hora' da tabela 'silver_full', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,hora_limpa,string,"16:00, 18:00, 21:40, 20:30, 09:00, 15:00, 19:00, 17:00, 21:30, 21:45",N/A,N/A,"Coluna 'hora_limpa' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,id,int,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",1,8405,"Coluna 'id' da tabela 'silver_full', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,ingestao_dt,timestamp,2025-12-15 22:55:34.6314,N/A,N/A,"Coluna 'ingestao_dt' da tabela 'silver_full', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,mandante,string,"Guarani, Athletico-pr, Flamengo, Goias, Internacional, Criciuma, Juventude, Fortaleza, Cruzeiro, Vitoria",N/A,N/A,"Coluna 'mandante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,mandante_estado,string,"SP, PR, RJ, GO, RS, SC, CE, MG, BA, PA",N/A,N/A,"Coluna 'mandante_estado' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,mandante_placar,int,"4, 2, 1, 0, 3, 6, 7, 5",0,7,"Coluna 'mandante_placar' da tabela 'silver_full', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,partida_id,int,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",1,8405,"Coluna 'partida_id' da tabela 'silver_full', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,rodata,int,"1, 2, 4, 3, 12, 5, 6, 7, 8, 9",1,46,"Coluna 'rodata' da tabela 'silver_full', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,source,string,/Workspace/csv/campeonato-brasileiro-full.csv,N/A,N/A,"Coluna 'source' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,tecnico_mandante,string,"C. Borges dos Santos, A. da Silva Braga, G. Dal Pozzo, M. dos Santos Gonçalves, M. Ramalho, M. Portugal Vicario, P. Autuori de Mello, J. de Almeida Filho, O. de Oliveira Filho, L. Saroli Caio Júnior",N/A,N/A,"Coluna 'tecnico_mandante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,tecnico_visitante,string,"V. Eutrópio, N. da Silveira Júnior, C. Juarez Roth, M. de Oliveira Santos, V. Carmo Mancini, E. Alves Moreira, L. Venker de Menezes, S. Drubscky de Campos, E. Baptista, G. Kleina",N/A,N/A,"Coluna 'tecnico_visitante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,vencedor,string,"Guarani, Athletico-PR, Empate, Criciuma, Atletico-MG, Internacional, Gremio, Flamengo, Vitoria, Ponte Preta",N/A,N/A,"Coluna 'vencedor' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,visitante,string,"Vasco, Gremio, Coritiba, Paysandu, Ponte Preta, Fluminense, Sao Paulo, Bahia, Sao Caetano, Figueirense",N/A,N/A,"Coluna 'visitante' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,visitante_estado,string,"RJ, RS, PR, PA, SP, BA, SC, MG, CE, GO",N/A,N/A,"Coluna 'visitante_estado' da tabela 'silver_full', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_full,visitante_placar,int,"2, 0, 1, 3, 4, 7, 5, 6",0,7,"Coluna 'visitante_placar' da tabela 'silver_full', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,atleta,string,"Nirley da Silva Fonseca, Fred, Rafael Sóbis, Charles Aránguiz, Nílton Ferreira Júnior, Marcelo Moreno, Anderson Talisca, Antônio Carlos dos Santos Aguiar, Douglas Pereira dos Santos, Luís Fabiano",N/A,N/A,"Coluna 'atleta' da tabela 'silver_gols', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,clube,string,"Fluminense, Internacional, Cruzeiro, Bahia, Sao Paulo, Athletico-pr, Santos, Sport, Criciuma, Palmeiras",N/A,N/A,"Coluna 'clube' da tabela 'silver_gols', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,ingestao_dt,timestamp,2025-12-15 22:55:41.186996,N/A,N/A,"Coluna 'ingestao_dt' da tabela 'silver_gols', do tipo 'timestamp'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,minuto,string,"59, 45, 31, 6, 63, 90, 80, 13, 22, 56",N/A,N/A,"Coluna 'minuto' da tabela 'silver_gols', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,minuto_int,int,"59, 45, 31, 6, 63, 90, 80, 13, 22, 56",0,103,"Coluna 'minuto_int' da tabela 'silver_gols', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,partida_id,int,"4607, 4608, 4612, 4611, 4610, 4615, 4616, 4618, 4620, 4622",4607,8405,"Coluna 'partida_id' da tabela 'silver_gols', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,rodata,int,"1, 2, 3, 4, 5, 6, 7, 8, 9, 28",1,38,"Coluna 'rodata' da tabela 'silver_gols', do tipo 'int'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,source,string,/Workspace/csv/campeonato-brasileiro-gols.csv,N/A,N/A,"Coluna 'source' da tabela 'silver_gols', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
silver_gols,tipo_de_gol,string,"Gol Contra, Penalty",N/A,N/A,"Coluna 'tipo_de_gol' da tabela 'silver_gols', do tipo 'string'. Representa atributo estruturado da camada Silver, utilizado para validação, padronização e posterior modelagem dimensional."
